Department,Code,Sarvam STT,Corrected Transcription
Grievance,GV_Q_1.ogg,"हेलो, मैं बीसी से सुपरवाइजर अलका बोल रही हूँ। मुझे ये बोलना था कि हमारे यहाँ पे मैं चेकिंग टीम और फोल्डिंग टीम को देखती हूँ। तो मैं अगर कुछ चेकिंग टीम को बोल रही थी आज, तो शक्ति ने मुझे बोला कि ये क्यों छुट्टी पे से आई वापस? नहीं थी तो शांति था और अभी वो बोल रही है तू वापस चले जा। और उसने मुझे क्यों ऐसे बोला? प्लीज ऋषि। एंड अनु दीदी आप मेरी हेल्प कीजिए।",
Grievance,GV_Q_2.ogg,"दीदी, दीदी मैं हीना बोल रही हूँ, उसको बहुत परेशान किया है। संजू कुछ भी कुछ मार रहा है, सर में लकड़ा हिंच के मारा, सूजन पड़ गया सर में, हाथ में लग गया लकड़ा। वो सोने नहीं देता है। दीदी, अनु दीदी मैं हीना बोल रही हूँ, वो बहुत मार रहा है, सोने नहीं देता है, गंदा गंदा गाली देता है।",
HR-Admin,HR_Ad_Q_1.ogg,26 जनवरी को छुट्टी है कि चालू है?,छब्बीस जनवरी को छुट्टी है कि चालू है
HR-Admin,HR_Ad_Q_10.ogg,"मैं सरजू बात कर रहा हूँ बीसी ऑफिस से, मेरे पीएफ की जानकारी चाहिए।",मैं सरजू बात कर रहा हूँ बीसी ऑफिस से मेरे पीएफ की जानकारी चाहिए
HR-Admin,HR_Ad_Q_11.ogg,"लोन के बारे में। हेलो सर, मेरा लोन कितना बाकी है, ये भाई बोल रहे थे।",लोन के बारे में हेलो सर मेरा लोन कितना बाकी है मै अय्युब बोल रहा हू
HR-Admin,HR_Ad_Q_12.1.ogg,"तो दीदी मेरा यह जो लोन का जो खत्म करना है, यह कितने महीने में खत्म हो जाएगा? और है ना मुझे है ना प्रीति दीदी से बात करना है, प्रीति दीदी शायद आ नहीं रही है, तो जरा उनको भेजिए तो मैं उनसे पूछूँ।",तो दीदी मेरा यह जो लोन का जो खत्म करना है यह कितने महीने में खत्म हो जाएगा और है ना मुझे है ना प्रीति दीदी से बात करना है प्रीति दीदी शायद आ नहीं रही है तो जरा उनको भेजिए तो मैं उनसे पूछूँ
HR-Admin,HR_Ad_Q_12.ogg,"हाय टाइनी टीम, मैं भारती विक्रम परदेसी बोल रही हूँ डी सी ऑफिस से। मुझे यह जानना है कि जो मैंने कंपनी से लोन लिया था 50,000, तो वह अभी तक मतलब कितना और बाकी है भरना और मैं फिर दोबारा कब लोन के लिए अप्लाई कर सकती हूँ और किस को बोलना है मुझे लोन के लिए? प्लीज मुझे यह बताइए।",हाय टाइनी टीम मैं भारती विक्रम परदेसी बोल रही हूँ बीसी ऑफिस से मुझे यह जानना है कि जो मैंने कंपनी से लोन लिया था पचास हज़ार तो वह अभी तक मतलब कितना और बाकी है भरना और मैं फिर दोबारा कब लोन के लिए अप्लाई कर सकती हूँ और किस को बोलना है मुझे लोन के लिए प्लीज मुझे यह बताइए
HR-Admin,HR_Ad_Q_13.ogg,"हॅलो, गुड इव्हिनिंग, मी वत्सला बामणे बीसी ऑफिसमध्ये आहे, स्टिचिंगचं काम करते. मला त्या पर पीसवरती असाच पगार व्यवस्थित येत नाही, तर कृपया सॅलरीवर 20-25 हजारापर्यंत सॅलरी मिळेल. माझी 2 मुलं आहेत, त्यांच्या शिक्षणाचा खर्च, घर खर्च सगळं नाही त्या पगारावर चालत आहे, तर कृपया मला काही हेल्प मिळाली. किंवा सॅलरी सिस्टम म्हणजे 20-25 पर्यंत तरी गेला तरी मला आनंद होईल असं माझी इच्छा आहे. जर झालं काही त्याच्यातून मार्ग निघत असेल तर प्लीज काढा.",हॅलो गुड इव्हिनिंग मी वत्सला बामणे बी सी ऑफिसमध्ये आहे स्टिचिंगचं काम करते मला त्या पर पीसवरती असाच पगार व्यवस्थित येत नाही तर कृपया सॅलरीवर वीस -पंचवीस हजारापर्यंत सॅलरी मिळेल माझी दोन मुलं आहेत त्यांच्या शिक्षणाचा खर्च घरखर्च हे सगळं नाही त्या पगारावर चालत आहे तर कृपया मला काही हेल्प मिळाली किंवा सॅलरी सिस्टम म्हणजे वीस -पंचवीस पर्यंत तरी गेला तरी मला आनंद होईल असं माझी इच्छा आहे जर झालं काही त्याच्यातून मार्ग निघत असेल तर प्लीज काढा
HR-Admin,HR_Ad_Q_14.ogg,"आईजीपी में ना मैं रेखा बोल रही हूँ, आईजीपी में कितना दिन से मच्छर काट रहे हैं, लेकिन उसका कोई सलूशन नहीं निकल रहा है, क्यों ऐसा?",आईजीपी में ना मैं रेखा बोल रही हूँ आईजीपी में कितना दिन से मच्छर काट रहे हैं लेकिन उसका कोई सलूशन नहीं निकल रहा है क्यों ऐसा
HR-Admin,HR_Ad_Q_15.ogg,"हाउसकीपिंग वाले को है ना दीदी, 1 घंटा या आधा घंटा पहले बुलाओ, क्योंकि हम लोग मशीन के नीचे भी पोछा नहीं लगता है ना, तो मच्छर काटते हैं।",
